id,Name,Artist,Genre,Owner,CC,Link,JPG
1,Тишины хочу,Антиреспект,Шансон,Антиреспект,1,https://zaycev.net/pages/179930/17993025.shtml,https://cdnimg.zaycev.net/commonImage/739176_square250.jpg
2,Гладиатор,Ария,Рок,id14927456,1,https://zaycev.net/pages/36965/3696512.shtml,https://cdnimg.zaycev.net/commonImage/112390_square250.jpg
3,Свобода,Ария,Рок,Superior,1,https://zaycev.net/pages/15/1567.shtml,https://cdnimg.zaycev.net/commonImage/112390_square250.jpg
4,"Не женюсь , я не женюсь",Аркадий Кобяков,Шансон,не известно,0,https://zaycev.net/pages/40107/4010760.shtml,https://cdnimg.zaycev.net/commonImage/136289_square250.jpg
5,Арабская,Ванесса Мэй,Классика,не известно,0,https://zaycev.net/pages/16716/1671625.shtml,https://cdnimg.zaycev.net/commonImage/114302_square250.jpg
6,Скрипка,Ванесса Мэй,Классика,MC.Searcher,1,https://zaycev.net/pages/22218/2221820.shtml,https://cdnimg.zaycev.net/commonImage/114302_square250.jpg
7,Девчонка из сети,Вирус,Поп,paganizondar,1,https://zaycev.net/pages/216580/21658021.shtml,https://cdnimg.zaycev.net/commonImage/114855_square250.jpg
8,Танец теней (Safiter & Neqdope Remix),Зомб,Электроника,ООО «ЖАРА МЬЮЗИК»,1,https://zaycev.net/pages/120480/12048045.shtml,https://cdnimg.zaycev.net/commonImage/118820_square250.jpg
9,Верной быть должна жена,Ирина Круг,Шансон,operator27,1,https://zaycev.net/pages/31981/3198171.shtml,https://cdnimg.zaycev.net/commonImage/119664_square250.jpg
10,А я теряю голову,Катя Огонек,Шансон,id172671123,1,https://zaycev.net/pages/36703/3670346.shtml,https://cdnimg.zaycev.net/commonImage/120288_square250.jpg
12,Есть Красивая одна девушка на земле,Петлюра,Шансон,dimkina_devochka,1,https://zaycev.net/pages/13752/1375295.shtml,https://cdnimg.zaycev.net/commonImage/126234_square250.jpg
13,Забрал я Сердце,Рустам Нахушев,Джаз,не известно,0,https://zaycev.net/pages/38053/3805381.shtml,https://avatars.yandex.net/get-music-content/114728/ab30e2a6.p.5918459/m1000x1000
14, Милая,Сектор Газа,Рок,DemonXL,1,https://zaycev.net/pages/39718/3971841.shtml,https://cdnimg.zaycev.net/commonImage/128805_square250.jpg
15,За семью печатями,Сплин,Рок,paganizondar,1,https://zaycev.net/pages/226371/22637149.shtml,https://cdnimg.zaycev.net/commonImage/129811_square250.jpg
16,Прочь из моей головы,Сплин,Рок,не известно,0,https://zaycev.net/pages/2585/258558.shtml,https://cdnimg.zaycev.net/commonImage/129811_square250.jpg
17,Окей мы просто играем в жизнь,Тима Белорусских,Поп,larin_1,1,https://zaycev.net/search.html?query_search=Окей+мы+просто+играем+в+жизнь,https://cdnimg.zaycev.net/commonImage/970154_square250.jpg
18,LONELINESS,Benny Benassi,Электроника,halya,1,https://zaycev.net/pages/899/89920.shtml,https://cdnimg.zaycev.net/commonImage/11682_square250.jpg
19,Seara De Seara,Carla's Dreams,Электроника,paganizondar,1,https://zaycev.net/pages/167530/16753000.shtml,https://cdnimg.zaycev.net/commonImage/259213_square250.jpg
20,Emmanuelle,Fausto Papetti,Джаз,Pizh0n,1,https://zaycev.net/pages/10838/1083899.shtml,https://cdnimg.zaycev.net/commonImage/42975_square250.jpg
21,The Secret Of Christmas,Frank Sinatra,Джаз,pablo-73,1,https://zaycev.net/pages/3207/320706.shtml,https://cdnimg.zaycev.net/commonImage/44616_square250.jpg
22,Вальс дождя,Frederic Chopin,Классика,MATSULA,1,https://zaycev.net/pages/14404/1440449.shtml,https://cdnimg.zaycev.net/commonImage/44811_square250.jpg
23,Мелодия любви,Frederic Chopin,Классика,Tonanate,1,https://zaycev.net/pages/14488/1448808.shtml,https://cdnimg.zaycev.net/commonImage/44811_square250.jpg
24,Machine Phonk,FunkeLakeBosa,Джаз,не известно,0,https://zaycev.net/pages/75789/7578914.shtml,https://avatars.yandex.net/get-music-content/2266607/34c68fde.a.9069760-2/200x200
25,Поболело и прошло,HENSY,Поп,GOLDEN SOUND,1,https://zaycev.net/pages/179882/17988290.shtml,https://avatars.yandex.net/get-music-content/2424959/b33132a3.a.11370591-1/200x200
26,Faradenza,Little Big,Электроника,uid50223357,1,https://zaycev.net/pages/83171/8317108.shtml,https://cdnimg.zaycev.net/commonImage/444483_square250.jpg
27,Лунная соната,Ludwig Van Beethoven,Классика,Pelageq56,1,https://zaycev.net/pages/16464/1646430.shtml,https://cdnimg.zaycev.net/commonImage/64426_square250.jpg
28,Лада Приора,Mr.NЁMA,Поп,Zhara Music,1,https://zaycev.net/pages/44442/4444204.shtml,https://cdn62.zvooq.com/pic?type=release&id=9068924&size=600x600&ext=jpg
29,No Karantino,Little Big,Электроника,Диджей VIEM,1,https://zaycev.net/pages/176894/17689432.shtml,https://cdnimg.zaycev.net/commonImage/444483_square250.jpg
30,Ты такая красивая,Niletto,Поп,ИП Щербинская,1,https://zaycev.net/pages/171363/17136308.shtml,https://cdnimg.zaycev.net/commonImage/1020371_square250.jpg